14,AP ARQ. LOPEZ OTERO,78922,2018-01-01 15:00,9,0,0,9,9,3.1A,618.58
7,AP ARQ. LOPEZ OTERO,78922,2018-01-01 08:00,8,0,0,8,8,3.1A,618.58
3,AP ARQ. LOPEZ OTERO,78922,2018-01-01 04:00,10,0,0,10,10,3.1A,618.58
15,AP ARQ. LOPEZ OTERO,78922,2018-01-01 16:00,8,0,0,8,8,3.1A,618.58
11,AP ARQ. LOPEZ OTERO,78922,2018-01-01 12:00,8,0,0,8,8,3.1A,618.58
9,AP ARQ. LOPEZ OTERO,78922,2018-01-01 10:00,8,0,0,8,8,3.1A,618.58
18,AP ARQ. LOPEZ OTERO,78922,2018-01-01 19:00,3,0,0,3,3,3.1A,618.58
13,AP ARQ. LOPEZ OTERO,78922,2018-01-01 14:00,8,0,0,8,8,3.1A,618.58
8,AP ARQ. LOPEZ OTERO,78922,2018-01-01 09:00,8,0,0,8,8,3.1A,618.58
0,AP ARQ. LOPEZ OTERO,78922,2018-01-01 01:00,10,0,0,10,10,3.1A,618.58
6,AP ARQ. LOPEZ OTERO,78922,2018-01-01 07:00,8,0,0,8,8,3.1A,618.58

5,AP ARQ. LOPEZ OTERO,78922,2018-01-01 06:00,9,0,0,9,9,3.1A,618.58
16,AP ARQ. LOPEZ OTERO,78922,2018-01-01 17:00,8,0,0,8,8,3.1A,618.58
10,AP ARQ. LOPEZ OTERO,78922,2018-01-01 11:00,9,0,0,9,9,3.1A,618.58
19,AP ARQ. LOPEZ OTERO,78922,2018-01-01 20:00,3,0,0,3,3,3.1A,618.58
20,AP ARQ. LOPEZ OTERO,78922,2018-01-01 21:00,3,0,0,3,3,3.1A,618.58
1,AP ARQ. LOPEZ OTERO,78922,2018-01-01 02:00,10,0,0,10,10,3.1A,618.58
-1,centro,id,fecha,consumo,reactiva,co2,potenciamax,potenciaact,tarifa,coste
2,AP ARQ. LOPEZ OTERO,78922,2018-01-01 03:00,10,0,0,10,10,3.1A,618.58
17,AP ARQ. LOPEZ OTERO,78922,2018-01-01 18:00,8,0,0,8,8,3.1A,618.58
12,AP ARQ. LOPEZ OTERO,78922,2018-01-01 13:00,8,0,0,8,8,3.1A,618.58
4,AP ARQ. LOPEZ OTERO,78922,2018-01-01 05:00,9,0,0,9,9,3.1A,618.58





















